,asian,associates,bachelors,black,eviction_likely,eviction_not_likely,eviction_somewhat_likely,eviction_very_unlikely,expenses_a_little_difficulty,expenses_no_difficulty,expenses_some_difficulty,expenses_very_difficult,geography,graduate,hs,job_loss_no,job_loss_yes,kids_in_hh,married,months_behind_avg,no_hs,rent_cur_no,rent_cur_yes,rental_assistance_denied,rental_assistance_not_needed,rental_assistance_recvd,rental_assistance_waiting,some_college,some_hs,survey,un_married,week,white
33,29.0,129.0,360.0,82.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,311.0,132.0,808.0,429.0,425.0,209.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,284.0,25.0,4.0,1037.0,27.0,1090.0
34,29.0,129.0,360.0,82.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,311.0,132.0,808.0,429.0,425.0,209.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,284.0,25.0,4.0,1037.0,28.0,1090.0
35,29.0,129.0,360.0,82.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,311.0,132.0,808.0,429.0,425.0,209.0,-1.0,5.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,284.0,25.0,4.0,1037.0,29.0,1090.0
36,122.0,161.0,646.0,250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,493.0,212.0,1282.0,741.0,716.0,293.0,-1.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,458.0,34.0,5.0,1733.0,30.0,1592.0
37,122.0,161.0,646.0,250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,493.0,212.0,1282.0,741.0,716.0,293.0,-1.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,458.0,34.0,5.0,1733.0,31.0,1592.0
38,122.0,161.0,646.0,250.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,493.0,212.0,1282.0,741.0,716.0,293.0,-1.0,22.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,458.0,34.0,5.0,1733.0,32.0,1592.0
39,152.0,150.0,583.0,280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,483.0,198.0,1087.0,766.0,686.0,249.0,-1.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,391.0,44.0,5.0,1617.0,30.0,1361.0
40,152.0,150.0,583.0,280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,483.0,198.0,1087.0,766.0,686.0,249.0,-1.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,391.0,44.0,5.0,1617.0,31.0,1361.0
41,152.0,150.0,583.0,280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,483.0,198.0,1087.0,766.0,686.0,249.0,-1.0,17.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,391.0,44.0,5.0,1617.0,32.0,1361.0
42,59.0,159.0,431.0,75.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,330.0,188.0,950.0,525.0,513.0,244.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,331.0,28.0,5.0,1236.0,30.0,1289.0
43,59.0,159.0,431.0,75.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,330.0,188.0,950.0,525.0,513.0,244.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,331.0,28.0,5.0,1236.0,31.0,1289.0
44,59.0,159.0,431.0,75.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,330.0,188.0,950.0,525.0,513.0,244.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,331.0,28.0,5.0,1236.0,32.0,1289.0
45,88.0,134.0,512.0,201.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,376.0,174.0,989.0,593.0,601.0,249.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,347.0,28.0,6.0,1337.0,33.0,1222.0
46,88.0,134.0,512.0,201.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,376.0,174.0,989.0,593.0,601.0,249.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,347.0,28.0,6.0,1337.0,34.0,1222.0
47,88.0,134.0,512.0,201.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,376.0,174.0,989.0,593.0,601.0,249.0,-1.0,15.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,347.0,28.0,6.0,1337.0,35.0,1222.0
48,105.0,137.0,427.0,217.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,327.0,156.0,823.0,571.0,550.0,190.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,305.0,39.0,6.0,1211.0,33.0,1030.0
49,105.0,137.0,427.0,217.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,327.0,156.0,823.0,571.0,550.0,190.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,305.0,39.0,6.0,1211.0,34.0,1030.0
50,105.0,137.0,427.0,217.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,327.0,156.0,823.0,571.0,550.0,190.0,-1.0,10.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,305.0,39.0,6.0,1211.0,35.0,1030.0
51,50.0,127.0,421.0,71.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,294.0,135.0,876.0,473.0,452.0,229.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,340.0,27.0,6.0,1127.0,33.0,1184.0
52,50.0,127.0,421.0,71.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,294.0,135.0,876.0,473.0,452.0,229.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,340.0,27.0,6.0,1127.0,34.0,1184.0
53,50.0,127.0,421.0,71.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,294.0,135.0,876.0,473.0,452.0,229.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,340.0,27.0,6.0,1127.0,35.0,1184.0
54,87.0,115.0,472.0,205.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,368.0,135.0,894.0,556.0,551.0,217.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,333.0,22.0,7.0,1240.0,36.0,1113.0
55,87.0,115.0,472.0,205.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,368.0,135.0,894.0,556.0,551.0,217.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,333.0,22.0,7.0,1240.0,37.0,1113.0
56,87.0,115.0,472.0,205.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,368.0,135.0,894.0,556.0,551.0,217.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,333.0,22.0,7.0,1240.0,38.0,1113.0
57,113.0,120.0,484.0,206.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,340.0,139.0,803.0,586.0,551.0,209.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,278.0,24.0,7.0,1188.0,36.0,1025.0
58,113.0,120.0,484.0,206.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,340.0,139.0,803.0,586.0,551.0,209.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,278.0,24.0,7.0,1188.0,37.0,1025.0
59,113.0,120.0,484.0,206.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,340.0,139.0,803.0,586.0,551.0,209.0,-1.0,12.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,278.0,24.0,7.0,1188.0,38.0,1025.0
60,31.0,111.0,286.0,57.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,238.0,129.0,644.0,396.0,386.0,161.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,257.0,14.0,7.0,883.0,36.0,914.0
61,31.0,111.0,286.0,57.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,238.0,129.0,644.0,396.0,386.0,161.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,257.0,14.0,7.0,883.0,37.0,914.0
62,31.0,111.0,286.0,57.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,238.0,129.0,644.0,396.0,386.0,161.0,-1.0,9.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,257.0,14.0,7.0,883.0,38.0,914.0
63,147.0,198.0,719.0,280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,494.0,254.0,1289.0,922.0,881.0,331.0,-1.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,498.0,39.0,8.0,1891.0,39.0,1683.0
64,147.0,198.0,719.0,280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,494.0,254.0,1289.0,922.0,881.0,331.0,-1.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,498.0,39.0,8.0,1891.0,40.0,1683.0
65,147.0,198.0,719.0,280.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,494.0,254.0,1289.0,922.0,881.0,331.0,-1.0,20.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,498.0,39.0,8.0,1891.0,41.0,1683.0
66,149.0,199.0,645.0,341.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,451.0,249.0,1126.0,916.0,847.0,310.0,-1.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,437.0,51.0,8.0,1743.0,39.0,1456.0
67,149.0,199.0,645.0,341.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,451.0,249.0,1126.0,916.0,847.0,310.0,-1.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,437.0,51.0,8.0,1743.0,40.0,1456.0
68,149.0,199.0,645.0,341.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,451.0,249.0,1126.0,916.0,847.0,310.0,-1.0,21.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,437.0,51.0,8.0,1743.0,41.0,1456.0
69,50.0,166.0,460.0,95.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,358.0,182.0,981.0,630.0,611.0,252.0,-1.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,399.0,39.0,8.0,1363.0,39.0,1382.0
70,50.0,166.0,460.0,95.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,358.0,182.0,981.0,630.0,611.0,252.0,-1.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,399.0,39.0,8.0,1363.0,40.0,1382.0
71,50.0,166.0,460.0,95.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,358.0,182.0,981.0,630.0,611.0,252.0,-1.0,11.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,399.0,39.0,8.0,1363.0,41.0,1382.0
72,126.0,184.0,715.0,264.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,418.0,198.0,1204.0,820.0,790.0,284.0,-1.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,467.0,36.0,9.0,1748.0,42.0,1549.0
73,126.0,184.0,715.0,264.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,418.0,198.0,1204.0,820.0,790.0,284.0,-1.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,467.0,36.0,9.0,1748.0,43.0,1549.0
74,126.0,184.0,715.0,264.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,418.0,198.0,1204.0,820.0,790.0,284.0,-1.0,14.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,467.0,36.0,9.0,1748.0,44.0,1549.0
75,135.0,184.0,577.0,372.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,420.0,262.0,1028.0,938.0,820.0,319.0,-1.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,451.0,60.0,9.0,1663.0,42.0,1381.0
76,135.0,184.0,577.0,372.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,420.0,262.0,1028.0,938.0,820.0,319.0,-1.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,451.0,60.0,9.0,1663.0,43.0,1381.0
77,135.0,184.0,577.0,372.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,420.0,262.0,1028.0,938.0,820.0,319.0,-1.0,28.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,451.0,60.0,9.0,1663.0,44.0,1381.0
78,56.0,144.0,479.0,101.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,359.0,191.0,971.0,671.0,652.0,252.0,-1.0,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,426.0,29.0,9.0,1399.0,42.0,1396.0
79,56.0,144.0,479.0,101.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,359.0,191.0,971.0,671.0,652.0,252.0,-1.0,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,426.0,29.0,9.0,1399.0,43.0,1396.0
80,56.0,144.0,479.0,101.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,359.0,191.0,971.0,671.0,652.0,252.0,-1.0,23.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,426.0,29.0,9.0,1399.0,44.0,1396.0
81,104.0,149.0,597.0,216.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,396.0,184.0,1033.0,707.0,654.0,235.0,-1.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,378.0,30.0,10.0,1515.0,45.0,1363.0
82,104.0,149.0,597.0,216.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,396.0,184.0,1033.0,707.0,654.0,235.0,-1.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,378.0,30.0,10.0,1515.0,46.0,1363.0
83,104.0,149.0,597.0,216.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Dallas,396.0,184.0,1033.0,707.0,654.0,235.0,-1.0,16.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,378.0,30.0,10.0,1515.0,47.0,1363.0
84,126.0,141.0,478.0,249.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,351.0,168.0,821.0,724.0,660.0,243.0,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,347.0,41.0,10.0,1308.0,45.0,1100.0
85,126.0,141.0,478.0,249.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,351.0,168.0,821.0,724.0,660.0,243.0,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,347.0,41.0,10.0,1308.0,46.0,1100.0
86,126.0,141.0,478.0,249.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Houston,351.0,168.0,821.0,724.0,660.0,243.0,-1.0,25.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,347.0,41.0,10.0,1308.0,47.0,1100.0
87,47.0,127.0,404.0,101.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,325.0,168.0,848.0,565.0,541.0,210.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,354.0,29.0,10.0,1210.0,45.0,1196.0
88,47.0,127.0,404.0,101.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Texas,325.0,168.0,848.0,565.0,541.0,210.0,-1.0,13.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,354.0,29.0,10.0,1210.0,46.0,1196.0
